,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.024441433811616144,0.041542163739302744,-0.01273924788052609,0.01097203578775056,0.02207489718354299,-0.00954191466988649,0.03700506556064912,0.10653229622842587,0.01094929547371094,-0.006222428137150381
2,-0.018779084639513006,-0.004450283083031368,0.023021429363241693,0.1249976673106257,0.01865249095163501,0.012310846896595397,-0.041705361819531196,0.0812460176275981,-0.015819989567151624,0.3222376683782023
3,0.023040917634345345,0.11559679493123684,0.01973278648554658,0.041627126586520985,0.03288457830630884,0.07532648773639011,0.05730418439764915,0.08398482066349201,0.15638193249844073,0.0002361019602891341
4,0.015151882601535714,-0.016785238003906227,-0.01902524689369155,0.011632059792919463,0.01917913463887506,0.048484752598843814,0.051672089659428246,-0.016445537156910047,0.03840118085461706,0.03987189192718725
5,-0.02082905384462573,-0.03374345313428511,0.03258990420675098,-0.029310086735999958,-0.014307882289748617,-0.009229489890376889,0.020612546960651956,-0.022789918659660485,-0.02131706055059711,-0.029032284009964934
6,-0.04189398002402844,-0.054581962462226206,-0.05138383294020066,-0.04949936362572993,-0.04944716054271663,-0.055078745454205595,-0.058891964396779954,-0.04000517304684321,-0.045230880890564804,-0.08724456880932656
7,-0.045014107919150524,-0.05317551000987986,-0.05042693706378062,-0.06248518534836434,-0.05034449190125655,-0.06585604298237373,-0.08200412936899555,-0.0695529202294499,-0.06571320256027485,-0.09370519188716987
8,-0.04342042270760823,-0.050372345515404926,-0.04883961390253532,-0.059110704184470675,-0.04747773018206352,-0.0622954754470839,-0.0831280242874415,-0.06952166088590747,-0.06573931991470723,-0.08171548477478238
9,-0.026977596458598693,-0.014072717620858948,-0.030816785481389695,-0.03405444927937972,-0.018991323654101375,-0.052301568236871536,-0.05513224033961581,-0.04448648561139005,-0.03609050655466486,-0.06612000968433836
10,-0.025670586664062855,0.07613517650939136,0.00854780772903232,-0.01816751272699329,0.05760526923405004,-0.014352846869731322,-0.009886749475461695,-0.02560348185517266,-0.008660753580406215,0.05827328563735621
11,0.1687552750162045,-0.00535066269029928,0.09368223872436106,0.034089729782334065,0.05358193393608652,0.009164499180712065,0.14453565814147093,0.016474768620132967,-0.018602926889126386,-0.037775140547552696
12,-0.007957844032118242,-0.0061900873053566145,0.035206150538019156,0.03847453209199413,-0.023063711770747064,0.12081348289385067,0.016939460048404964,0.003060241930869326,0.07839051844711949,0.009249223422307983
